track_id,track_name,artist,album,release_date,popularity,genres
6buASig9LPv1Je1HsDKtey,Frio,Draco Rosa,Frio,1994-03-22,18,"rock en español, latin pop, latin rock, latin alternative"
3H0s4wxDK33zvkRwav5Ssq,"Almas Diferentes, Almas Gemelas",Draco Rosa,Libertad Del Alma,1994,25,"rock en español, latin pop, latin rock, latin alternative"
0XCk8lRTUOKAnZL3eLJnYD,Amantes Hasta el Fin,Draco Rosa,Vagabundo,1996-06-18,30,"rock en español, latin pop, latin rock, latin alternative"
5BsnilttMFsnhI44mNk7Nb,Blanca Mujer,Draco Rosa,Vagabundo,1996-06-18,27,"rock en español, latin pop, latin rock, latin alternative"
1TEZWG1FdjzDdercCguTwj,Nookie,Limp Bizkit,Significant Other,1999,76,"nu metal, rap metal, alternative metal, rap rock"
6DLlKqPYJns8rFWZhihj7d,Llanto Subterraneo,Draco Rosa,Vagabundo,1996-06-18,25,"rock en español, latin pop, latin rock, latin alternative"
7D47QUZtLlTDkBTKeeaFQr,Brujería,Draco Rosa,Vagabundo,1996-06-18,24,"rock en español, latin pop, latin rock, latin alternative"
4xm0ot47vbeEpIo0BUykj0,Vertigo,Draco Rosa,Vagabundo,1996-06-18,22,"rock en español, latin pop, latin rock, latin alternative"
4pYKtDAvEhHmDD5pqf6LLk,Delirios,Draco Rosa,Vagabundo,1996-06-18,20,"rock en español, latin pop, latin rock, latin alternative"
2y2yzwr730iin3OoS6VEDM,La Flor Del Frio,Draco Rosa,Vagabundo,1996-06-18,18,"rock en español, latin pop, latin rock, latin alternative"
5xXxlLjvE9Vb3Qvf0OQtFL,Casi Una Diosa,Draco Rosa,Frio,1994-03-22,22,"rock en español, latin pop, latin rock, latin alternative"
0WfKDYeUAoLA3vdvLKKWMW,Poker Face,Lady Gaga,The Fame,2008-01-01,2,"art pop, pop"
0YQdyVicuKY0zvcT0nbPsV,De Una Vida Entera,Black Guayaba,Lo Demas Es Plastico v2.0,2007-06-19,0,"rock en español, latin rock"
6MXl7W1mWO7hVDMoDfsibq,Imagina,Genitallica,Picas O Platicas,2001-06-19,7,"rock en español, mexican rock, ska, mexican ska, latin rock"
0xXjVKOtylF9cgM7of1SI2,Chiquitita,Genitallica,Picas O Platicas,2001-06-19,3,"rock en español, mexican rock, ska, mexican ska, latin rock"
6ukNaJ5Keb9pbeQU32RQKB,Que Fue Lo Que Paso?,Genitallica,Picas O Platicas,2001-06-19,14,"rock en español, mexican rock, ska, mexican ska, latin rock"
60UrUYTeB2wSrpVEZE5cQJ,Todos Tomados,Genitallica,Picas O Platicas,2001-06-19,5,"rock en español, mexican rock, ska, mexican ska, latin rock"
6Jhj6BEbtbRrehDwToxtjr,Quiero Paz,Genitallica,Picas O Platicas,2001-06-19,5,"rock en español, mexican rock, ska, mexican ska, latin rock"
0Ruvs5IxqkGqQVWCO2oRpw,De Música Ligera - Remasterizado 2007,Soda Stereo,Me Verás Volver (Hits & Más),2007-06-28,58,"rock en español, latin rock, argentine rock, latin alternative"
